Date,Amount,Merchant,Category,Notes
2023-01-16,0.7,Deposit,Other Income,
2023-01-16,11.52,Deposit,Other Income,
2023-01-16,1.87,Deposit,Other Income,
2023-01-16,0.02,Deposit,Other Income,
2023-01-15,0.3,Deposit,Other Income,
2023-01-15,0.67,Deposit,Other Income,
2023-01-15,1.21,Deposit,Other Income,
2023-01-15,2.53,Deposit,Other Income,
2023-01-15,2.26,Deposit,Other Income,
2023-01-14,0.17,Deposit,Other Income,
2023-01-14,0.46,Deposit,Other Income,
2023-01-13,0.33,Deposit,Other Income,
2023-01-13,0.4,Deposit,Other Income,
2023-01-13,1.41,Deposit,Other Income,
2023-01-12,0.99,Deposit,Other Income,
2023-01-12,0.9,Deposit,Other Income,
2023-01-12,0.59,Deposit,Other Income,
2023-01-12,0.17,Deposit,Other Income,
2023-01-11,0.1,Deposit,Other Income,
2023-01-10,0.22,Deposit,Other Income,
2023-01-10,0.37,Deposit,Other Income,
2023-01-10,0.7,Deposit,Other Income,
2023-01-10,1.85,Deposit,Other Income,
2023-01-10,0.35,Deposit,Other Income,
2023-01-09,0.43,Deposit,Other Income,
2023-01-08,1.18,Deposit,Other Income,
2023-01-07,0.07,Deposit,Other Income,
2023-01-06,0.6,Deposit,Other Income,
2023-01-05,6.99,Deposit,Other Income,
2023-01-05,0.33,Deposit,Other Income,
2023-01-02,0.56,Deposit,Other Income,
2023-01-02,3.58,Deposit,Other Income,
2023-01-02,0.56,Deposit,Other Income,
2023-01-01,1.07,Deposit,Other Income,
2023-01-01,0.64,Deposit,Other Income,
2023-01-01,2.53,Deposit,Other Income,
2023-01-01,0.35,Deposit,Other Income,
2022-12-31,0.99,Deposit,Other Income,
2022-12-31,0.56,Deposit,Other Income,
2022-12-30,0.13,Deposit,Other Income,
2022-12-30,1.01,Deposit,Other Income,
2022-12-30,2.88,Deposit,Other Income,
2022-12-30,1.38,Deposit,Other Income,
2022-12-29,5.52,Deposit,Other Income,
2022-12-29,0.56,Deposit,Other Income,
2022-12-28,1.22,Deposit,Other Income,
2022-12-27,0.2,Deposit,Other Income,
2022-12-26,0.07,Deposit,Other Income,
2022-12-25,0.35,Deposit,Other Income,
2022-12-25,0.62,Deposit,Other Income,
2022-12-25,2.27,Deposit,Other Income,
2022-12-24,0.54,Deposit,Other Income,
2022-12-24,1.22,Deposit,Other Income,
2022-12-23,0.97,Deposit,Other Income,
2022-12-23,10.15,Deposit,Other Income,
2022-12-23,0.88,Deposit,Other Income,
2022-12-21,0.06,Deposit,Other Income,
2022-12-19,0.56,Deposit,Other Income,
2022-12-19,1.03,Deposit,Other Income,
2022-12-19,0.09,Deposit,Other Income,
2022-12-18,1.12,Deposit,Other Income,
2022-12-17,0.75,Deposit,Other Income,
2022-12-17,0.09,Deposit,Other Income,
2022-12-17,0.64,Deposit,Other Income,
2022-12-16,1.87,Deposit,Other Income,
2022-12-15,1.62,Deposit,Other Income,
2022-12-15,1.01,Deposit,Other Income,
2022-12-14,0.05,Deposit,Other Income,
2022-12-14,0.36,Deposit,Other Income,
2022-12-13,0.33,Deposit,Other Income,
2022-12-12,0.22,Deposit,Other Income,
2022-12-10,0.17,Deposit,Other Income,
2022-12-09,0.67,Deposit,Other Income,
2022-12-09,0.22,Deposit,Other Income,
2022-12-07,0.52,Deposit,Other Income,
2022-12-07,0.38,Deposit,Other Income,
2022-12-07,0.07,Deposit,Other Income,
2022-12-07,0.17,Deposit,Other Income,
2022-12-03,0.55,Deposit,Other Income,
2022-12-03,0.08,Deposit,Other Income,
2022-12-03,0.26,Deposit,Other Income,
2022-12-03,0.22,Deposit,Other Income,
2022-12-02,0.53,Deposit,Other Income,
2022-12-02,0.04,Deposit,Other Income,
2022-12-01,1.07,Deposit,Other Income,
2022-11-30,2.22,Deposit,Other Income,
2022-11-29,0.1,Deposit,Other Income,
2022-11-29,0.13,Deposit,Other Income,
2022-11-28,0.35,Deposit,Other Income,
2022-11-28,4.72,Deposit,Other Income,
2022-11-27,0.2,Deposit,Other Income,
2022-11-27,0.88,Deposit,Other Income,
2022-11-26,1.4,Deposit,Other Income,
2022-11-26,0.54,Deposit,Other Income,
2022-11-25,0.99,Deposit,Other Income,
2022-11-24,7.3,Deposit,Other Income,
2022-11-23,0.34,Deposit,Other Income,
2022-11-23,0.81,Deposit,Other Income,
2022-11-21,0.06,Deposit,Other Income,
2022-11-21,0.06,Deposit,Other Income,
2022-11-16,1.31,Deposit,Other Income,
2022-11-16,1.87,Deposit,Other Income,
2022-11-15,1.62,Deposit,Other Income,
2022-11-15,1.2,Deposit,Other Income,
2022-11-13,0.17,Deposit,Other Income,
2022-11-13,0.33,Deposit,Other Income,
2022-11-11,0.04,Deposit,Other Income,
2022-11-07,0.07,Deposit,Other Income,
2022-11-06,0.2,Deposit,Other Income,
2022-11-06,5.52,Deposit,Other Income,
2022-11-06,8.33,Deposit,Other Income,
2022-11-06,0.75,Deposit,Other Income,
2022-11-04,0.77,Deposit,Other Income,
2022-11-04,0.99,Deposit,Other Income,
2022-11-03,1.99,Deposit,Other Income,
2022-11-03,0.06,Deposit,Other Income,
2022-11-03,0.08,Deposit,Other Income,
2022-11-01,1.66,Deposit,Other Income,
2022-11-01,0.98,Deposit,Other Income,
2022-10-30,0.18,Deposit,Other Income,
2022-10-30,0.31,Deposit,Other Income,
2022-10-29,1.39,Deposit,Other Income,
2022-10-29,0.4,Deposit,Other Income,
2022-10-29,0.13,Deposit,Other Income,
2022-10-28,0.67,Deposit,Other Income,
2022-10-27,0.66,Deposit,Other Income,
2022-10-27,0.2,Deposit,Other Income,
2022-10-26,0.6,Deposit,Other Income,
2022-10-26,0.92,Deposit,Other Income,
2022-10-26,0.5,Deposit,Other Income,
2022-10-26,0.21,Deposit,Other Income,
2022-10-24,0.4,Deposit,Other Income,
2022-10-23,1.65,Deposit,Other Income,
2022-10-21,0.06,Deposit,Other Income,
2022-10-19,0.4,Deposit,Other Income,
2022-10-17,1.99,Deposit,Other Income,
