Date,Amount,Merchant,Category,Notes
2025-02-18,0.09,Deposit,Other Income,
2025-02-18,0.18,Deposit,Other Income,
2025-02-18,0.94,Deposit,Other Income,
2025-02-17,0.5,Deposit,Other Income,
2025-02-17,1.84,Deposit,Other Income,
2025-02-17,2.4,Deposit,Other Income,
2025-02-17,0.11,Deposit,Other Income,
2025-02-17,0.22,Deposit,Other Income,
2025-02-17,0.64,Deposit,Other Income,
2025-02-16,0.2,Deposit,Other Income,
2025-02-16,0.02,Deposit,Other Income,
2025-02-16,0.92,Deposit,Other Income,
2025-02-15,0.18,Deposit,Other Income,
2025-02-14,0.45,Deposit,Other Income,
2025-02-14,0.14,Deposit,Other Income,
2025-02-13,0.35,Deposit,Other Income,
2025-02-13,0.32,Deposit,Other Income,
2025-02-12,0.22,Deposit,Other Income,
2025-02-10,1.21,Deposit,Other Income,
2025-02-10,1.6,Deposit,Other Income,
2025-02-08,0.55,Deposit,Other Income,
2025-02-08,0.64,Deposit,Other Income,
2025-02-07,1.1,Deposit,Other Income,
2025-02-07,0.12,Deposit,Other Income,
2025-02-07,0.08,Deposit,Other Income,
2025-02-05,0.98,Deposit,Other Income,
2025-02-04,0.24,Deposit,Other Income,
2025-02-04,0.56,Deposit,Other Income,
2025-02-04,1.53,Deposit,Other Income,
2025-02-04,0.27,Deposit,Other Income,
2025-02-04,0.46,Deposit,Other Income,
2025-02-03,0.22,Deposit,Other Income,
2025-02-03,0.4,Deposit,Other Income,
2025-02-03,0.09,Deposit,Other Income,
2025-02-03,0.01,Deposit,Other Income,
2025-02-03,0.32,Deposit,Other Income,
2025-02-03,1.05,Deposit,Other Income,
2025-02-03,0.47,Deposit,Other Income,
2025-02-02,0.42,Deposit,Other Income,
2025-02-02,0.13,Deposit,Other Income,
2025-02-01,1.33,Interest,Interest Gains,
2025-02-01,0.19,Deposit,Other Income,
2025-01-28,1.66,Deposit,Other Income,
2025-01-28,0.22,Deposit,Other Income,
2025-01-28,0.38,Deposit,Other Income,
2025-01-27,0.1,Deposit,Other Income,
2025-01-27,1.25,Deposit,Other Income,
2025-01-27,0.28,Deposit,Other Income,
2025-01-24,0.22,Deposit,Other Income,
2025-01-24,0.27,Deposit,Other Income,
2025-01-23,1.79,Deposit,Other Income,
2025-01-23,0.03,Deposit,Other Income,
2025-01-22,0.39,Deposit,Other Income,
2025-01-22,0.44,Deposit,Other Income,
2025-01-22,0.6,Deposit,Other Income,
2025-01-21,0.46,Deposit,Other Income,
2025-01-21,0.25,Deposit,Other Income,
2025-01-21,0.77,Deposit,Other Income,
2025-01-20,0.66,Deposit,Other Income,
2025-01-19,1.3,Deposit,Other Income,
2025-01-19,0.2,Deposit,Other Income,
2025-01-19,0.16,Deposit,Other Income,
2025-01-19,0.12,Deposit,Other Income,
2025-01-19,0.07,Deposit,Other Income,
2025-01-18,0.09,Deposit,Other Income,
2025-01-18,0.96,Deposit,Other Income,
2025-01-18,0.33,Deposit,Other Income,
2025-01-18,0.5,Deposit,Other Income,
2025-01-18,0.18,Deposit,Other Income,
2025-01-16,1.66,Deposit,Other Income,
2025-01-15,0.18,Deposit,Other Income,
2025-01-15,1.3,Deposit,Other Income,
2025-01-14,0.21,Deposit,Other Income,
2025-01-14,0.22,Deposit,Other Income,
2025-01-14,0.66,Deposit,Other Income,
2025-01-14,0.45,Deposit,Other Income,
2025-01-12,0.02,Deposit,Other Income,
2025-01-12,0.22,Deposit,Other Income,
2025-01-11,1.07,Deposit,Other Income,
2025-01-11,0.24,Deposit,Other Income,
2025-01-11,1.31,Deposit,Other Income,
2025-01-09,0.4,Deposit,Other Income,
2025-01-08,0.22,Deposit,Other Income,
2025-01-08,0.59,Deposit,Other Income,
2025-01-08,0.5,Deposit,Other Income,
2025-01-07,13.02,Deposit,Other Income,
2025-01-07,1.01,Deposit,Other Income,
2025-01-07,0.62,Deposit,Other Income,
2025-01-07,0.43,Deposit,Other Income,
2025-01-07,0.06,Deposit,Other Income,
2025-01-07,0.14,Deposit,Other Income,
2025-01-07,0.92,Deposit,Other Income,
2025-01-07,0.36,Deposit,Other Income,
2025-01-06,0.1,Deposit,Other Income,
2025-01-04,0.87,Deposit,Other Income,
2025-01-04,0.24,Deposit,Other Income,
2025-01-04,1.02,Deposit,Other Income,
2025-01-04,1.01,Deposit,Other Income,
2025-01-03,0.01,Deposit,Other Income,
2025-01-03,1.05,Deposit,Other Income,
2025-01-02,0.11,Deposit,Other Income,
2025-01-02,0.09,Deposit,Other Income,
2025-01-01,1.22,Interest,Interest Gains,
2024-12-30,0.54,Deposit,Other Income,
2024-12-29,0.24,Deposit,Other Income,
2024-12-29,0.87,Deposit,Other Income,
2024-12-29,0.5,Deposit,Other Income,
2024-12-29,0.08,Deposit,Other Income,
2024-12-24,0.23,Deposit,Other Income,
2024-12-24,0.22,Deposit,Other Income,
2024-12-23,1.38,Deposit,Other Income,
2024-12-23,0.03,Deposit,Other Income,
2024-12-22,0.44,Deposit,Other Income,
2024-12-22,0.25,Deposit,Other Income,
2024-12-22,0.37,Deposit,Other Income,
2024-12-22,0.41,Deposit,Other Income,
2024-12-20,0.5,Deposit,Other Income,
2024-12-19,0.07,Deposit,Other Income,
